id,title,description,publishTime,duration_seconds,viewCount,likeCount,Like_to_view_ratio
TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,"Sign up for Current w/ my Creator Code ""BEAST"" and I'll send you $1 (or maybe $1k!!): http://www.current.com/MrBeast New ...",2021-04-24 20:00:00+00:00,861,84717282,2876493.0,29.45158635880567
00NgUctWoLQ,"Extreme $1,000,000 Hide And Seek",I didn't expect that to happen at the end I was so confused haha ...,2021-12-18 21:00:00+00:00,729,32090178,2125183.0,15.099959862280095
ayXxwJJId_c,"I Bought The World&#39;s Largest Mystery Box! ($500,000)",I cant believe I spent over $500000 on mystery boxes Add Honey for FREE ▸ http://joinhoney.com/mrbeast Thanks to Honey for ...,2021-04-03 20:00:01+00:00,709,101745632,3110824.0,32.70697152908683
cExLQ1o2pDw,"First To Rob Bank Wins $100,000",I didnt think he would actually rob the bank... Sign up for Current and use my code “BEASTBANK” to get $1. Request $$ from me ...,2021-09-26 20:00:06+00:00,482,50008942,2359606.0,21.193767942614148
GLoeAJUcz38,"Press This Button To Win $100,000!","Push the red subscribe button and you could also win $100000! (Seriously, we always fly subscribers down lol) New Merch ...",2020-11-14 21:00:02+00:00,911,145527042,2762425.0,52.68090246794031
nM89Wl03Q4g,I Survived 50 Hours In A Maximum Security Prison,I can't believe this prison let me do this lol New Merch - https://shopmrbeast.com/ Chandler Karl and Chris couldnt make it to this ...,2021-06-26 20:00:02+00:00,754,79464833,2214006.0,35.891877890123155
9bqk6ZUsKyA,I Spent 50 Hours Buried Alive,This was the most insane thing I've ever done New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2021-03-27 20:00:04+00:00,760,154322660,5379027.0,28.689697969539843
HBMmK1c44sE,I Spent 24 Hours In A Doomsday Bunker,The bunker gets crazier as the video goes on! SUBSCRIBE OR YOU'LL HAVE BAD LUCK For more info on this bunker check out ...,2020-04-11 20:00:00+00:00,719,102795467,2080395.0,49.41151415957066
vp5sSqyZ5Go,I Filled My Brother’s House With Slime &amp; Bought Him A New One,I did not expect that to happen..... DOWNLOAD & PLAY HERE http://x.ea.com/65665 Apex Legends Season 6 includes the ...,2020-10-10 20:00:31+00:00,625,95079717,2612376.0,36.395877545958164
hxwpkM5w3Cc,I Got Hunted By The FBI,"You guys loved the bounty hunter video so we did it with the FBI, i hope you enjoy! Get $5 on Venmo just for adding Honey ...",2021-08-07 23:00:03+00:00,1000,71993932,2558283.0,28.141504282364384
uocETPj4Jx4,"Extreme $500,000 Game Of Tag!",I did not expect that to happen at the end... New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2021-09-04 20:00:07+00:00,760,57633714,2774047.0,20.77604092504561
6wsFjjhZPJI,"Last To Leave Revolving Door Wins $50,000",YOU WON'T BELIEVE WHAT HAPPENS IN THIS VIDEO LOL New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,2019-07-02 20:00:01+00:00,824,97585126,2518894.0,38.74125945752382
x9TQ6culXIA,"$1,000,000 Influencer Tournament!",That was so close at the end I can't believe that happened!,2021-12-16 21:00:00+00:00,725,34223993,2280759.0,15.005527984324516
QbJJwaVdgIs,I Got Hunted By The Military,"I'm not sure how they drove over that... it wasnt supposed to happen Sign up using code ""BEASTHUNT"" with current!",2021-12-10 21:30:02+00:00,662,43165039,2416595.0,17.86192514674573
urtFrxDUV6c,"Would YOU Quit School For $100,000?",You won't believe what they chose! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2021-07-10 20:00:09+00:00,694,55202068,2004164.0,27.543688041497603
WcwGleN38zE,"Extreme $100,000 Game of Tag!",I cant believe he actually won.. New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2021-04-17 20:00:00+00:00,1014,84989496,2449214.0,34.70072276248625
UQtltNZ_pjs,I Won Every Prize At A Theme Park,WE WON OVER 10000 STUFFED ANIMALS LOL New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-08-15 19:59:59+00:00,802,90623591,1883897.0,48.10432364402088
Rj_vssRaZlQ,I Ate The World’s Largest Slice Of Pizza,This slice of pizza was expensive... New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-08-01 20:00:02+00:00,483,99174289,2642315.0,37.53310600742152
Dc2ZRmuH5OM,"Steal This $100,000 Diamond, You Keep It",Do you think you could have done all the levels? New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-11-28 21:00:04+00:00,843,103902204,2471218.0,42.04493654546058
SZQhgExjBvQ,I Survived 24 Hours Straight In Ice,i borderline went crazy about 17 hours in... New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-10-29 20:17:44+00:00,694,85113492,2833891.0,30.03414457366215
zxYjTTXc-J8,"Last To Leave Circle Wins $500,000",THIS WAS THE CRAZIEST THING IVE EVER DONE! Get $10 of Bitcoin when you join Coinbase using my code: ...,2021-08-31 20:01:03+00:00,1166,95809336,3482783.0,27.50941876080135
erQ_9yEz0ls,"I Bought The World&#39;s Largest Firework ($600,000)",I cant believe i spent this much money on fireworks lol Thanks to Fireworks by Grucci for helping! https://www.grucci.com/ Follow ...,2020-07-03 21:00:20+00:00,669,106594059,3641646.0,29.27084593065883
YQDDm9HLkV4,I Adopted EVERY Dog In A Dog Shelter,"This is my favorite video i have ever made, it took me 9 months to film. PLEASE DONATE HERE: https://furkids.org/donation/ New ...",2020-07-23 20:00:11+00:00,964,104797858,3343738.0,31.34152795464238
